Time,Rainfall,MaxTemperature,AverageTemperature,MinTemperature,Wind,Humidity,Alive,Deaths
2024-w1,1.524,31.66666667,28.644444,26.66666667,7.31,83.38571,18,0
2024-w2,2.286,31.66666667,27.977778,25,8.41,82.34286,18,0
2024-w3,1.016,30.55555556,27.627778,25,8.89,78.01429,22,0
2024-w4,1.778,30.55555556,27.033333,23.88888889,9.27,81.27143,18,0
2024-w5,2.54,30.55555556,26.561111,22.77777778,7.22,84.65714,14,0
2024-w6,0.254,31.11111111,27.472222,25.55555556,6.25,84.18571,12,0
2024-w7,2.032,30.55555556,27.077778,23.88888889,8.56,85.02857,14,0
2024-w8,0.254,30.55555556,27.894444,26.11111111,6.78,80.71429,20,0
2024-w9,0.508,31.11111111,27.811111,25.55555556,7.63,78.8,11,0
2024-w10,0,31.66666667,28.2833333,25,6.61,80.34286,14,0
2024-w11,0,31.66666667,28.544444,26.11111111,7.22,78.41429,8,0
2024-w12,0,31.11111111,28.594444,26.11111111,7.25,78.25714,11,0
2024-w13,2.032,32.77777778,29.055556,25.55555556,6.84,80.58571,9,0
2024-w14,0,32.77777778,29.544444,26.66666667,7.73,78.75714,8,0
2024-w15,0,32.77777778,29.694444,27.22222222,7.04,79.11429,3,0
2024-w16,0,32.77777778,30.083333,27.77777778,6.9,76.82857,9,0
2024-w17,0,33.88888889,30.377778,27.22222222,6.93,78.28571,3,0
2024-w18,0,33.88888889,30.822222,27.77777778,7.27,74.22857,6,0
2024-w19,0.254,34.44444444,30.733333,28.33333333,6.52,77.02857,7,0
2024-w20,4.318,33.88888889,30.916667,27.77777778,5.86,77.98571,4,0
2024-w21,1.778,34.44444444,30.538889,26.11111111,5.43,79.32857,6,0
2024-w22,3.048,33.33333333,29.95,26.66666667,5.04,79.4,1,0
2024-w23,2.794,33.88888889,29.583333,25.55555556,3.66,82.44286,7,0
2024-w24,5.334,33.88888889,29.761111,25.55555556,3.7,81.41429,4,0
2024-w25,8.382,32.77777778,28.877778,25,3.92,82.65714,4,0
2024-w26,16.002,32.77777778,29.572222,26.11111111,5.97,82.31429,13,0
2024-w27,18.288,33.33333333,28.7055556,24.44444444,4.58,85.65714,28,1
2024-w28,31.496,32.22222222,28.416667,25,4.15,86.51429,40,0
2024-w29,4.826,32.22222222,27.35,24.44444444,4.45,87.12857,75,0
2024-w30,15.24,32.77777778,28.505556,24.44444444,5.09,84.44286,81,0
2024-w31,3.302,32.77777778,28.694444,25,4.06,82.1,174,0
2024-w32,0.762,32.77777778,28.116667,25,4.39,84.92857,224,0
2024-w33,17.78,33.33333333,29.288889,25.55555556,4.16,85.48571,202,0
2024-w34,3.048,33.33333333,29.355556,25,3.99,82.41429,205,2
2024-w35,11.43,32.77777778,28.305556,25.55555556,4.34,83.22857,172,0
2024-w36,9.906,33.88888889,28.383333,24.44444444,5.72,80.24286,148,0
2024-w37,9.906,33.33333333,28.22,25,5.31,81.74285714,119,0
2024-w38,7.366,32.77777778,27.4222222,25,5.42,82.34285714,91,0
